feature,importance,method
Curricular units 2nd sem (approved),2.6616394410920265,absolute_coefficient
Curricular units 1st sem (approved),2.279075388387291,absolute_coefficient
Curricular units 2nd sem (enrolled),1.5094679635727932,absolute_coefficient
Course_16,1.3940360986209828,absolute_coefficient
Tuition fees up to date_0,1.1481648670066387,absolute_coefficient
Nacionality_21,1.087849808238455,absolute_coefficient
Tuition fees up to date_1,1.051111904602001,absolute_coefficient
Father's qualification_2,0.9927865897733427,absolute_coefficient
Mother's qualification_19,0.9198470618681348,absolute_coefficient
Course_10,0.9092385121155415,absolute_coefficient
Father's occupation_12,0.8895309363959469,absolute_coefficient
Curricular units 1st sem (enrolled),0.8522907928658748,absolute_coefficient
Father's qualification_29,0.8448580198621987,absolute_coefficient
Course_7,0.8235629396410584,absolute_coefficient
Course_3,0.7677402448871254,absolute_coefficient
Father's qualification_5,0.7470053289603806,absolute_coefficient
Previous qualification_4,0.7468877237295302,absolute_coefficient
Course_17,0.7367399782803579,absolute_coefficient
Course_2,0.7329217073116928,absolute_coefficient
Mother's qualification_4,0.7229188226274978,absolute_coefficient
Mother's occupation_1,0.7179188143679914,absolute_coefficient
Previous qualification_17,0.6914145596738622,absolute_coefficient
Application mode_7,0.6514304889619231,absolute_coefficient
Curricular units 1st sem (credited),0.6432669625846404,absolute_coefficient
Father's occupation_10,0.6359854348426677,absolute_coefficient
Application mode_6,0.6205973279920431,absolute_coefficient
Nacionality_12,0.6066038174390099,absolute_coefficient
Father's occupation_1,0.6027790687754288,absolute_coefficient
Nacionality_9,0.5932481414085657,absolute_coefficient
Father's qualification_10,0.5672245987701926,absolute_coefficient
Father's qualification_33,0.56234162423173,absolute_coefficient
Mother's qualification_10,0.556913297760071,absolute_coefficient
Father's qualification_7,0.5482217431484387,absolute_coefficient
Application mode_16,0.5432416255468235,absolute_coefficient
Father's qualification_30,0.5169546724399994,absolute_coefficient
Previous qualification_3,0.5153035329117744,absolute_coefficient
Debtor_1,0.5132606423629498,absolute_coefficient
