data_source,metric,ml,rule_based,ml_minus_rule_based,higher_solution
student_dropout,accuracy,0.6746666666666666,0.6406666666666667,0.03399999999999992,ml
student_dropout,f1,0.5404896421845574,0.5242718446601942,0.016217797524363253,ml
student_dropout,f2,0.6765676567656765,0.677463503649635,-0.0008958468839584954,rule_based
student_dropout,pr_auc,0.5753334888389368,0.4998740564018036,0.07545943243713316,ml
student_dropout,precision,0.4047954866008462,0.3807692307692307,0.024026255831615495,ml
student_dropout,recall,0.8130311614730878,0.8413597733711048,-0.028328611898016942,rule_based
student_dropout,roc_auc,0.8153453645549049,0.7836862266634724,0.03165913789143249,ml
student_dropout_and_success,accuracy,0.8403669724770643,0.8899082568807339,-0.04954128440366967,rule_based
student_dropout_and_success,f1,0.8277227722772277,0.8695652173913043,-0.04184244511407664,rule_based
student_dropout_and_success,f2,0.9134615384615384,0.9099181073703366,0.0035434310912018097,ml
student_dropout_and_success,pr_auc,0.9776125813251134,0.8895054702682857,0.08810711105682767,ml
student_dropout_and_success,precision,0.7157534246575342,0.8097165991902834,-0.09396317453274916,rule_based
student_dropout_and_success,recall,0.9812206572769951,0.9389671361502347,0.042253521126760396,ml
student_dropout_and_success,roc_auc,0.98171559477346,0.940487301317948,0.041228293455512044,ml
