row_id,split,target
0,train,0
1,train,1
2,train,0
3,train,1
4,train,0
5,train,0
6,test,0
7,train,0
8,train,0
9,validation,0
10,train,1
11,train,1
12,train,0
13,test,0
14,train,0
15,train,0
16,validation,0
17,train,0
18,train,0
19,train,1
20,train,0
21,test,0
22,train,0
23,train,0
24,train,1
25,train,0
26,validation,0
27,train,0
28,train,0
29,train,0
30,train,0
31,train,1
32,train,0
33,train,0
34,train,0
35,train,1
36,validation,0
37,train,0
38,train,0
39,validation,0
40,train,0
41,train,0
42,test,0
43,train,1
44,train,0
45,train,0
46,train,0
47,train,0
48,validation,0
49,train,0
50,train,0
51,train,0
52,train,0
53,train,1
54,train,1
55,train,1
56,train,0
57,train,0
58,train,1
59,train,0
60,train,0
61,train,0
62,train,0
63,validation,0
64,train,0
65,train,0
66,train,0
67,train,0
68,test,0
69,train,0
70,validation,0
71,train,0
72,train,0
73,train,0
74,validation,0
75,validation,0
76,train,0
77,train,1
78,test,0
79,train,0
80,test,0
81,train,0
82,train,0
83,validation,0
84,train,0
85,train,0
86,train,0
87,train,1
88,test,1
89,train,0
90,validation,0
91,train,1
92,train,0
93,train,0
94,train,0
95,train,1
96,validation,0
97,validation,0
98,train,0
99,validation,0
100,validation,1
101,train,0
102,train,0
103,train,0
104,train,0
105,train,0
106,train,1
107,validation,1
108,train,0
109,validation,0
110,validation,0
111,train,1
112,train,0
113,train,1
114,train,0
115,train,0
116,validation,0
117,train,0
118,validation,0
119,train,0
120,train,1
121,validation,1
122,validation,0
123,test,0
124,train,1
125,train,0
126,train,0
127,train,0
128,train,0
129,train,1
130,train,0
131,validation,0
132,train,0
133,train,0
134,train,0
135,train,0
136,train,0
137,train,0
138,train,0
139,train,0
140,train,1
141,train,0
142,test,0
143,validation,0
144,test,0
145,validation,0
146,train,0
147,test,0
148,train,0
149,train,0
150,validation,0
151,train,0
152,train,0
153,test,0
154,validation,0
155,test,0
156,test,1
157,validation,0
158,validation,0
159,test,0
160,train,0
161,validation,0
162,test,0
163,train,1
164,train,0
165,train,0
166,train,0
167,train,1
168,test,0
169,train,0
170,train,0
171,train,0
172,train,0
173,validation,0
174,test,0
175,train,0
176,validation,0
177,test,0
178,train,0
179,train,0
180,train,1
181,train,0
182,train,0
183,train,0
184,train,0
185,train,0
186,test,0
187,train,0
188,train,0
189,train,0
190,train,0
191,train,0
192,test,0
193,test,0
194,train,0
195,train,0
196,train,0
197,train,1
198,train,0
199,train,0
200,train,0
201,train,1
202,validation,0
203,validation,0
204,validation,0
205,train,0
206,validation,0
207,train,0
208,train,0
209,train,0
210,train,0
211,validation,0
212,train,0
213,train,1
214,train,1
215,train,0
216,train,0
217,train,0
218,train,0
219,train,0
220,train,0
221,validation,0
222,train,0
223,train,0
224,train,0
225,train,1
226,test,0
227,test,0
228,train,0
229,validation,0
230,train,0
231,train,0
232,train,0
233,train,0
234,test,0
235,train,0
236,train,1
237,train,1
238,train,0
239,test,0
240,validation,1
241,validation,0
242,train,1
243,test,0
244,validation,0
245,train,0
246,train,1
247,train,1
248,train,1
249,train,0
250,test,0
251,train,0
252,test,1
253,test,1
254,train,1
255,train,0
256,train,0
257,validation,1
258,train,0
259,train,0
260,train,0
261,train,0
262,test,1
263,train,1
264,train,0
265,validation,0
266,train,0
267,train,0
268,train,0
269,train,0
270,train,0
271,validation,1
272,train,1
273,train,0
274,train,0
275,train,1
276,test,0
277,validation,0
278,test,0
279,train,0
280,train,0
281,train,0
282,train,0
283,validation,0
284,train,0
285,train,1
286,test,0
287,train,0
288,train,0
289,test,0
290,train,0
291,train,1
292,train,0
293,train,0
294,validation,0
295,train,0
296,test,0
297,train,1
298,test,0
299,train,0
300,train,0
301,train,0
302,validation,0
303,validation,0
304,train,0
305,test,0
306,train,0
307,train,0
308,train,0
309,validation,1
310,test,0
311,train,0
312,train,1
313,test,0
314,train,0
315,train,0
316,train,1
317,train,0
318,train,0
319,validation,0
320,train,0
321,test,0
322,train,0
323,train,0
324,train,0
325,validation,0
326,train,0
327,train,0
328,train,0
329,train,0
330,train,0
331,train,1
332,validation,0
333,train,1
334,train,0
335,train,0
336,validation,0
337,train,1
338,train,0
339,train,0
340,train,0
341,train,1
342,train,0
343,test,0
344,train,0
345,train,1
346,train,0
347,train,0
348,train,0
349,train,0
350,validation,0
351,validation,0
352,train,0
353,train,0
354,train,1
355,test,1
356,train,0
357,train,0
358,train,0
359,test,1
360,train,0
361,test,1
362,train,0
363,train,1
364,train,0
365,train,0
366,train,0
367,train,0
368,train,1
369,validation,0
370,train,0
371,train,1
372,test,0
373,test,0
374,validation,0
375,train,0
376,validation,1
377,validation,0
378,validation,0
379,train,1
380,train,0
381,train,0
382,validation,0
383,test,1
384,validation,0
385,train,1
386,train,0
387,train,1
388,train,0
389,validation,0
390,train,0
391,train,0
392,validation,0
393,train,0
394,validation,1
395,train,0
396,train,0
397,train,0
398,train,0
399,validation,0
400,train,0
401,validation,0
402,train,0
403,train,0
404,validation,0
405,train,0
406,train,0
407,validation,0
408,train,0
409,validation,0
410,train,0
411,train,0
412,test,0
413,train,0
414,test,0
415,train,0
416,validation,0
417,validation,0
418,train,0
419,train,0
420,train,0
421,train,0
422,train,0
423,train,0
424,train,0
425,train,0
426,validation,0
427,train,0
428,validation,1
429,train,0
430,train,0
431,train,0
432,train,0
433,train,0
434,train,0
435,train,1
436,train,1
437,train,1
438,test,1
439,train,1
440,train,1
441,validation,1
442,train,1
443,test,0
444,validation,0
445,train,0
446,train,0
447,train,0
448,test,1
449,train,0
450,train,0
451,test,0
452,validation,0
453,train,0
454,train,0
455,train,0
456,train,0
457,train,0
458,train,0
459,train,0
460,test,1
461,train,1
462,train,0
463,train,0
464,train,0
465,train,0
466,train,0
467,validation,0
468,test,0
469,train,0
470,train,0
471,train,0
472,train,0
473,test,0
474,train,0
475,train,1
476,train,1
477,train,0
478,train,0
479,test,0
480,train,0
481,train,0
482,test,0
483,train,0
484,train,0
485,train,0
486,test,0
487,train,0
488,train,0
489,train,0
490,train,1
491,train,0
492,train,0
493,train,1
494,train,0
495,train,0
496,train,0
497,validation,1
498,train,1
499,test,0
500,train,0
501,validation,1
502,train,0
503,train,1
504,train,0
505,train,0
506,train,0
507,validation,1
508,train,0
509,validation,1
510,train,0
511,test,0
512,train,0
513,validation,1
514,train,0
515,train,1
516,train,0
517,train,1
518,train,0
519,test,0
520,validation,0
521,validation,0
522,train,0
523,train,0
524,train,0
525,validation,0
526,train,0
527,train,1
528,train,0
529,train,0
530,train,0
531,train,0
532,train,0
533,validation,1
534,test,1
535,train,1
536,train,1
537,train,1
538,validation,0
539,train,1
540,validation,0
541,train,0
542,train,0
543,train,0
544,train,1
545,train,0
546,train,0
547,train,0
548,train,1
549,train,0
550,train,0
551,train,0
552,train,1
553,train,0
554,train,0
555,train,0
556,train,0
557,train,0
558,train,0
559,train,0
560,train,1
561,train,0
562,train,1
563,train,0
564,test,1
565,train,1
566,train,0
567,train,0
568,train,0
569,validation,0
570,validation,0
571,test,0
572,validation,0
573,train,0
574,train,0
575,train,0
576,train,1
577,train,0
578,train,0
579,train,0
580,train,0
581,train,0
582,validation,0
583,test,0
584,train,1
585,test,1
586,train,0
587,train,0
588,train,1
589,train,0
590,test,0
591,train,0
592,train,1
593,train,0
594,train,1
595,test,1
596,train,0
597,test,0
598,train,0
599,train,0
600,train,0
601,validation,1
602,train,1
603,train,0
604,train,0
605,validation,0
606,validation,0
607,train,0
608,train,0
609,train,0
610,train,0
611,train,0
612,test,1
613,train,0
614,train,1
615,train,1
616,train,1
617,train,1
618,test,0
619,train,0
620,train,0
621,train,0
622,test,0
623,validation,0
624,train,0
625,train,0
626,validation,0
627,validation,0
628,train,0
629,test,0
630,train,0
631,train,0
632,test,0
633,train,0
634,test,0
635,train,0
636,train,0
637,train,1
638,validation,1
639,train,0
640,validation,0
641,train,0
642,test,0
643,train,0
644,test,0
645,train,0
646,train,0
647,train,0
648,train,0
649,train,0
650,train,1
651,train,1
652,train,0
653,train,0
654,train,1
655,train,0
656,train,1
657,train,1
658,train,0
659,train,0
660,test,0
661,test,0
662,test,0
663,train,1
664,train,0
665,validation,1
666,train,1
667,validation,1
668,train,0
669,validation,1
670,train,0
671,train,0
672,train,1
673,train,0
674,train,0
675,train,0
676,validation,0
677,train,1
678,train,1
679,train,0
680,train,0
681,train,0
682,test,0
683,train,0
684,test,0
685,validation,1
686,train,0
687,validation,0
688,validation,0
689,train,0
690,train,0
691,train,1
692,train,0
693,train,0
694,validation,0
695,train,0
696,train,0
697,train,0
698,train,1
699,train,0
700,train,0
701,train,0
702,train,0
703,test,1
704,train,0
705,train,0
706,train,1
707,train,0
708,train,1
709,validation,0
710,test,0
711,validation,0
712,validation,0
713,test,0
714,test,0
715,train,0
716,test,1
717,train,1
718,train,0
719,train,0
720,validation,0
721,train,0
722,test,0
723,train,0
724,train,1
725,validation,0
726,train,0
727,train,0
728,test,0
729,train,1
730,train,0
731,validation,0
732,train,0
733,train,1
734,train,0
735,train,1
736,train,0
737,test,0
738,train,0
739,train,0
740,train,0
741,train,0
742,train,0
743,train,0
744,train,1
745,train,0
746,validation,0
747,validation,0
748,train,0
749,train,0
750,train,0
751,train,0
752,train,0
753,test,0
754,train,0
755,train,0
756,test,1
757,train,0
758,train,0
759,train,1
760,test,0
761,train,0
762,train,0
763,train,1
764,train,0
765,validation,0
766,train,0
767,test,0
768,train,1
769,train,0
770,test,0
771,test,1
772,train,0
773,train,0
774,train,0
775,train,0
776,train,0
777,train,0
778,train,0
779,test,0
780,train,0
781,train,0
782,validation,0
783,train,0
784,train,0
785,train,1
786,train,1
787,train,0
788,test,0
789,train,0
790,validation,0
791,train,1
792,train,0
793,train,1
794,validation,0
795,train,0
796,validation,0
797,train,0
798,validation,1
799,train,0
800,validation,0
801,train,1
802,train,0
803,train,0
804,train,1
805,test,0
806,train,0
807,train,0
808,test,0
809,train,0
810,train,0
811,validation,0
812,test,1
813,train,0
814,validation,0
815,validation,0
816,validation,1
817,test,1
818,train,0
819,test,0
820,train,1
821,train,0
822,train,1
823,train,1
824,train,1
825,train,0
826,test,1
827,train,0
828,train,0
829,train,0
830,train,0
831,train,0
832,validation,0
833,train,0
834,train,0
835,train,0
836,train,0
837,test,0
838,train,1
839,train,0
840,validation,0
841,train,0
842,test,0
843,test,1
844,train,1
845,train,0
846,train,0
847,test,0
848,test,0
849,train,0
850,train,0
