Student_ID,Dropout,Risk_Score,Risk_Level,Risk_Reasons,Recommendations
1,0,5,Trung bình,GPA dưới 2.0; Mức độ căng thẳng cần theo dõi; Công việc làm thêm có thể ảnh hưởng việc học,Tư vấn học tập và lập kế hoạch cải thiện GPA; Theo dõi mức độ căng thẳng định kỳ; Tư vấn cân bằng thời gian làm thêm và học tập
2,1,6,Cao,GPA dưới 2.0; Tỷ lệ chuyên cần dưới 75%; Mức độ căng thẳng cần theo dõi,Tư vấn học tập và lập kế hoạch cải thiện GPA; Liên hệ sinh viên và xác định nguyên nhân nghỉ học; Theo dõi mức độ căng thẳng định kỳ
3,0,7,Cao,GPA dưới 2.0; Tỷ lệ chuyên cần dưới 75%; Mức độ căng thẳng cần theo dõi; Công việc làm thêm có thể ảnh hưởng việc học,Tư vấn học tập và lập kế hoạch cải thiện GPA; Liên hệ sinh viên và xác định nguyên nhân nghỉ học; Theo dõi mức độ căng thẳng định kỳ; Tư vấn cân bằng thời gian làm thêm và học tập
4,1,5,Trung bình,GPA dưới 2.0; Tỷ lệ chuyên cần từ 75% đến dưới 85%; Mức độ căng thẳng cần theo dõi,Tư vấn học tập và lập kế hoạch cải thiện GPA; Theo dõi chuyên cần và nhắc nhở đi học đầy đủ; Theo dõi mức độ căng thẳng định kỳ
5,0,6,Cao,GPA dưới 2.0; Tỷ lệ chuyên cần từ 75% đến dưới 85%; Mức độ căng thẳng cao,Tư vấn học tập và lập kế hoạch cải thiện GPA; Theo dõi chuyên cần và nhắc nhở đi học đầy đủ; Đề xuất tư vấn tâm lý và theo dõi sức khỏe tinh thần
6,0,1,Thấp,Mức độ căng thẳng cần theo dõi,Theo dõi mức độ căng thẳng định kỳ
7,0,7,Cao,GPA dưới 2.0; Tỷ lệ chuyên cần từ 75% đến dưới 85%; Mức độ căng thẳng cao; Công việc làm thêm có thể ảnh hưởng việc học,Tư vấn học tập và lập kế hoạch cải thiện GPA; Theo dõi chuyên cần và nhắc nhở đi học đầy đủ; Đề xuất tư vấn tâm lý và theo dõi sức khỏe tinh thần; Tư vấn cân bằng thời gian làm thêm và học tập
8,0,4,Trung bình,GPA dưới 2.0; Mức độ căng thẳng cần theo dõi,Tư vấn học tập và lập kế hoạch cải thiện GPA; Theo dõi mức độ căng thẳng định kỳ
9,0,1,Thấp,Nộp bài trễ từ 3 ngày trở lên,Nhắc hạn bài và hỗ trợ kỹ năng quản lý thời gian
10,0,5,Trung bình,GPA dưới 2.0; Tỷ lệ chuyên cần từ 75% đến dưới 85%; Mức độ căng thẳng cần theo dõi,Tư vấn học tập và lập kế hoạch cải thiện GPA; Theo dõi chuyên cần và nhắc nhở đi học đầy đủ; Theo dõi mức độ căng thẳng định kỳ
11,1,9,Cao,GPA dưới 2.0; Tỷ lệ chuyên cần dưới 75%; Mức độ căng thẳng cao; Nộp bài trễ từ 3 ngày trở lên; Công việc làm thêm có thể ảnh hưởng việc học,Tư vấn học tập và lập kế hoạch cải thiện GPA; Liên hệ sinh viên và xác định nguyên nhân nghỉ học; Đề xuất tư vấn tâm lý và theo dõi sức khỏe tinh thần; Nhắc hạn bài và hỗ trợ kỹ năng quản lý thời gian; Tư vấn cân bằng thời gian làm thêm và học tập
12,1,7,Cao,GPA dưới 2.0; Mức độ căng thẳng cao; Nộp bài trễ từ 3 ngày trở lên; Công việc làm thêm có thể ảnh hưởng việc học,Tư vấn học tập và lập kế hoạch cải thiện GPA; Đề xuất tư vấn tâm lý và theo dõi sức khỏe tinh thần; Nhắc hạn bài và hỗ trợ kỹ năng quản lý thời gian; Tư vấn cân bằng thời gian làm thêm và học tập
13,0,1,Thấp,Tỷ lệ chuyên cần từ 75% đến dưới 85%,Theo dõi chuyên cần và nhắc nhở đi học đầy đủ
14,0,1,Thấp,Tỷ lệ chuyên cần từ 75% đến dưới 85%,Theo dõi chuyên cần và nhắc nhở đi học đầy đủ
15,0,2,Thấp,Mức độ căng thẳng cần theo dõi; Công việc làm thêm có thể ảnh hưởng việc học,Theo dõi mức độ căng thẳng định kỳ; Tư vấn cân bằng thời gian làm thêm và học tập
16,0,5,Trung bình,Tỷ lệ chuyên cần dưới 75%; Mức độ căng thẳng cao; Không có điều kiện truy cập Internet,Liên hệ sinh viên và xác định nguyên nhân nghỉ học; Đề xuất tư vấn tâm lý và theo dõi sức khỏe tinh thần; Hỗ trợ thiết bị hoặc địa điểm truy cập Internet
17,0,0,Thấp,Không phát hiện yếu tố rủi ro đáng kể,Tiếp tục theo dõi định kỳ
18,0,5,Trung bình,GPA dưới 2.0; Tỷ lệ chuyên cần từ 75% đến dưới 85%; Công việc làm thêm có thể ảnh hưởng việc học,Tư vấn học tập và lập kế hoạch cải thiện GPA; Theo dõi chuyên cần và nhắc nhở đi học đầy đủ; Tư vấn cân bằng thời gian làm thêm và học tập
19,0,0,Thấp,Không phát hiện yếu tố rủi ro đáng kể,Tiếp tục theo dõi định kỳ
20,1,6,Cao,GPA dưới 2.0; Tỷ lệ chuyên cần dưới 75%; Mức độ căng thẳng cần theo dõi,Tư vấn học tập và lập kế hoạch cải thiện GPA; Liên hệ sinh viên và xác định nguyên nhân nghỉ học; Theo dõi mức độ căng thẳng định kỳ
21,0,0,Thấp,Không phát hiện yếu tố rủi ro đáng kể,Tiếp tục theo dõi định kỳ
22,0,4,Trung bình,GPA từ 2.0 đến dưới 2.5; Tỷ lệ chuyên cần từ 75% đến dưới 85%; Mức độ căng thẳng cần theo dõi; Công việc làm thêm có thể ảnh hưởng việc học,Theo dõi kết quả học tập trong học kỳ tiếp theo; Theo dõi chuyên cần và nhắc nhở đi học đầy đủ; Theo dõi mức độ căng thẳng định kỳ; Tư vấn cân bằng thời gian làm thêm và học tập
23,0,3,Trung bình,Tỷ lệ chuyên cần dưới 75%; Công việc làm thêm có thể ảnh hưởng việc học,Liên hệ sinh viên và xác định nguyên nhân nghỉ học; Tư vấn cân bằng thời gian làm thêm và học tập
24,0,1,Thấp,Nộp bài trễ từ 3 ngày trở lên,Nhắc hạn bài và hỗ trợ kỹ năng quản lý thời gian
